Location,Month,Pollutant,Concentration
ENSLEY BROOK DS WENSLEY STATIO,03,Metoxuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,03,MetsulfrnMyl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,03,Mn BLM Bio,5.0000
ENSLEY BROOK DS WENSLEY STATIO,03,Monolinuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,03,Monuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,03,NH3 un-ion,0.0006
ENSLEY BROOK DS WENSLEY STATIO,03,Neburon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,03,Ni BLM Bio,0.6400
ENSLEY BROOK DS WENSLEY STATIO,03,Nitrate-N,1.1000
ENSLEY BROOK DS WENSLEY STATIO,03,Nitrite-N,0.0025
ENSLEY BROOK DS WENSLEY STATIO,03,O Diss %sat,9901.0000
ENSLEY BROOK DS WENSLEY STATIO,03,Oxamyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,03,PFOS,0.0001
ENSLEY BROOK DS WENSLEY STATIO,03,Pb BLM Bio,3.5000
ENSLEY BROOK DS WENSLEY STATIO,03,Permethrn-Tr,0.0001
ENSLEY BROOK DS WENSLEY STATIO,03,Permethrn-cs,0.0001
ENSLEY BROOK DS WENSLEY STATIO,03,PhenoxytcAcd,0.1300
ENSLEY BROOK DS WENSLEY STATIO,03,Pichloram,0.0050
ENSLEY BROOK DS WENSLEY STATIO,03,Propoxur,0.0050
ENSLEY BROOK DS WENSLEY STATIO,03,Sulcotrione,0.1000
ENSLEY BROOK DS WENSLEY STATIO,03,Temp Water,7.5000
ENSLEY BROOK DS WENSLEY STATIO,03,TriBT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,03,TriPT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,03,Triclopyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,03,Zn BLM Bio,55.0000
ENSLEY BROOK DS WENSLEY STATIO,03,p-C-o-Cresol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,03,pFoctanoate,0.0006
ENSLEY BROOK DS WENSLEY STATIO,03,pH,8.4000
ENSLEY BROOK DS WENSLEY STATIO,03,ptOctylPheno,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,"2,3.6667
ENSLEY BROOK DS WENSLEY STATIO,04,245-T,4.0000
ENSLEY BROOK DS WENSLEY STATIO,04,2Phenoxyprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,4-CAA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,4-nonPhenol,0.0400
ENSLEY BROOK DS WENSLEY STATIO,04,4Phenoxbutyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Acrb-slphn,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Acrb-slphx,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Aldicarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Alky pH 4.5,130.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Aminomethylp,0.1000
ENSLEY BROOK DS WENSLEY STATIO,04,Ammonia(N),0.1000
ENSLEY BROOK DS WENSLEY STATIO,04,Asulam,0.0200
ENSLEY BROOK DS WENSLEY STATIO,04,Azoxystrobin,0.0200
ENSLEY BROOK DS WENSLEY STATIO,04,B-[a]-pyrene,0.0034
ENSLEY BROOK DS WENSLEY STATIO,04,B-[b]-fluora,0.0027
ENSLEY BROOK DS WENSLEY STATIO,04,B-[ghi]-pery,714.0000
ENSLEY BROOK DS WENSLEY STATIO,04,B-[k]-fluora,0.0014
ENSLEY BROOK DS WENSLEY STATIO,04,Benazolin,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Bentazone,0.0030
ENSLEY BROOK DS WENSLEY STATIO,04,Bromoxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,C - Org Filt,301.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Carbaryl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Carbendazim,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Carbetamide,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Carbofuran,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Chloridazon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Chloride Ion,14.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Chloroxuran,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Chlortoluron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Cond @ 25C,326.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Cu BLM Bio,0.1500
ENSLEY BROOK DS WENSLEY STATIO,04,Cypermeth ID,1.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Cypermethrin,0.0000
ENSLEY BROOK DS WENSLEY STATIO,04,DEHP,0.2000
ENSLEY BROOK DS WENSLEY STATIO,04,Dicamba,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Diflurobnzrn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Diuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Ethiofencarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Ethirimol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,04,Fenoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Fenuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Fluoranthene,0.0038
ENSLEY BROOK DS WENSLEY STATIO,04,Fluoroxypyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Glyphosate,0.1000
ENSLEY BROOK DS WENSLEY STATIO,04,Imazapyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Ind123pyrene,746.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Ioxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Isoproturon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Linuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,MCPA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,MCPB,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,MR Screen,1.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Mecoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Methabnzthzn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Methiocarb,0.0010
ENSLEY BROOK DS WENSLEY STATIO,04,Methomyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Metoxuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,MetsulfrnMyl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Mn BLM Bio,5.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Monolinuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,NH3 un-ion,0.0017
ENSLEY BROOK DS WENSLEY STATIO,04,Neburon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,04,Ni BLM Bio,0.5500
ENSLEY BROOK DS WENSLEY STATIO,04,Nitrate-N,2.3800
ENSLEY BROOK DS WENSLEY STATIO,04,Nitrite-N,0.0160
ENSLEY BROOK DS WENSLEY STATIO,04,O Diss %sat,9901.0000
ENSLEY BROOK DS WENSLEY STATIO,04,Oxamyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,PFOS,0.0002
ENSLEY BROOK DS WENSLEY STATIO,04,Pb BLM Bio,2.4000
ENSLEY BROOK DS WENSLEY STATIO,04,Permethrn-Tr,0.0001
ENSLEY BROOK DS WENSLEY STATIO,04,Permethrn-cs,0.0003
ENSLEY BROOK DS WENSLEY STATIO,04,PhenoxytcAcd,0.1300
ENSLEY BROOK DS WENSLEY STATIO,04,Propoxur,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Sulcotrione,0.1000
ENSLEY BROOK DS WENSLEY STATIO,04,Temp Water,8.7000
ENSLEY BROOK DS WENSLEY STATIO,04,TriBT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,04,TriPT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,04,Triclopyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,04,Triclosan,0.0210
ENSLEY BROOK DS WENSLEY STATIO,04,Zn BLM Bio,45.0000
ENSLEY BROOK DS WENSLEY STATIO,04,p-C-o-Cresol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,04,pFoctanoate,0.0008
ENSLEY BROOK DS WENSLEY STATIO,04,pH,8.2000
ENSLEY BROOK DS WENSLEY STATIO,04,ptOctylPheno,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,"2,3.6667
ENSLEY BROOK DS WENSLEY STATIO,05,245-T,4.0000
ENSLEY BROOK DS WENSLEY STATIO,05,2Phenoxyprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,4-CAA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,4-nonPhenol,0.0400
ENSLEY BROOK DS WENSLEY STATIO,05,4Phenoxbutyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Acrb-slphn,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Acrb-slphx,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Aldicarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Alky pH 4.5,160.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Aminomethylp,0.1000
ENSLEY BROOK DS WENSLEY STATIO,05,Ammonia(N),0.0095
ENSLEY BROOK DS WENSLEY STATIO,05,Asulam,0.0200
ENSLEY BROOK DS WENSLEY STATIO,05,Azoxystrobin,0.0200
ENSLEY BROOK DS WENSLEY STATIO,05,B-[a]-pyrene,0.0006
ENSLEY BROOK DS WENSLEY STATIO,05,B-[b]-fluora,0.0005
ENSLEY BROOK DS WENSLEY STATIO,05,B-[ghi]-pery,714.0000
ENSLEY BROOK DS WENSLEY STATIO,05,B-[k]-fluora,0.0003
ENSLEY BROOK DS WENSLEY STATIO,05,Benazolin,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Bentazone,0.0030
ENSLEY BROOK DS WENSLEY STATIO,05,C - Org Filt,301.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Carbaryl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Carbendazim,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Carbetamide,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Carbofuran,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Chloridazon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Chloride Ion,13.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Chloroxuran,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Chlortoluron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Clopyralid,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Cond @ 25C,376.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Cu BLM Bio,0.7200
ENSLEY BROOK DS WENSLEY STATIO,05,Cypermeth ID,1.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Cypermethrin,0.0000
ENSLEY BROOK DS WENSLEY STATIO,05,DEHP,0.2000
ENSLEY BROOK DS WENSLEY STATIO,05,Dicamba,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Diflurobnzrn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Diuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Ethiofencarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Ethirimol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,05,Fenoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Fenuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Fluoranthene,0.0015
ENSLEY BROOK DS WENSLEY STATIO,05,Fluoroxypyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Glyphosate,0.1000
ENSLEY BROOK DS WENSLEY STATIO,05,Imazapyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Ind123pyrene,746.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Ioxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Isoproturon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Linuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,MCPA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,MCPB,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,MR Screen,1.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Mecoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Methabnzthzn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Methiocarb,0.0010
ENSLEY BROOK DS WENSLEY STATIO,05,Methomyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Metoxuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,MetsulfrnMyl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Mn BLM Bio,5.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Monuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,NH3 un-ion,0.0002
ENSLEY BROOK DS WENSLEY STATIO,05,Neburon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Ni BLM Bio,0.6300
ENSLEY BROOK DS WENSLEY STATIO,05,Nitrate-N,0.8370
ENSLEY BROOK DS WENSLEY STATIO,05,Nitrite-N,0.0028
ENSLEY BROOK DS WENSLEY STATIO,05,O Diss %sat,9901.0000
ENSLEY BROOK DS WENSLEY STATIO,05,Oxamyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,PFOS,0.0001
ENSLEY BROOK DS WENSLEY STATIO,05,Pb BLM Bio,4.9000
ENSLEY BROOK DS WENSLEY STATIO,05,Permethrn-Tr,0.0001
ENSLEY BROOK DS WENSLEY STATIO,05,PhenoxytcAcd,0.0150
ENSLEY BROOK DS WENSLEY STATIO,05,Pichloram,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Propoxur,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Sulcotrione,0.1000
ENSLEY BROOK DS WENSLEY STATIO,05,Temp Water,10.0000
ENSLEY BROOK DS WENSLEY STATIO,05,TriBT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,05,TriPT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,05,Triclopyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,05,Triclosan,0.0100
ENSLEY BROOK DS WENSLEY STATIO,05,Zn BLM Bio,56.0000
ENSLEY BROOK DS WENSLEY STATIO,05,p-C-o-Cresol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,05,pFoctanoate,0.0006
ENSLEY BROOK DS WENSLEY STATIO,05,pH,8.5000
ENSLEY BROOK DS WENSLEY STATIO,05,ptOctylPheno,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,"2,3.6667
ENSLEY BROOK DS WENSLEY STATIO,06,245-T,4.0000
ENSLEY BROOK DS WENSLEY STATIO,06,2Phenoxyprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,4-CAA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,4-nonPhenol,0.0400
ENSLEY BROOK DS WENSLEY STATIO,06,4Phenoxbutyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Acrb-slphn,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Acrb-slphx,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Aldicarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Alky pH 4.5,170.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Aminomethylp,0.1000
ENSLEY BROOK DS WENSLEY STATIO,06,Ammonia(N),0.0570
ENSLEY BROOK DS WENSLEY STATIO,06,Asulam,0.0200
ENSLEY BROOK DS WENSLEY STATIO,06,Azoxystrobin,0.0200
ENSLEY BROOK DS WENSLEY STATIO,06,B-[a]-pyrene,0.0006
ENSLEY BROOK DS WENSLEY STATIO,06,B-[b]-fluora,0.0005
ENSLEY BROOK DS WENSLEY STATIO,06,B-[ghi]-pery,714.0000
ENSLEY BROOK DS WENSLEY STATIO,06,B-[k]-fluora,0.0003
ENSLEY BROOK DS WENSLEY STATIO,06,Benazolin,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Bentazone,0.0030
ENSLEY BROOK DS WENSLEY STATIO,06,Bromoxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,C - Org Filt,301.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Carbaryl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Carbendazim,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Carbetamide,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Carbofuran,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Chloridazon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Chloride Ion,14.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Chloroxuran,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Chlortoluron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Clopyralid,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Cond @ 25C,399.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Cu BLM Bio,0.5100
ENSLEY BROOK DS WENSLEY STATIO,06,Cypermeth ID,1.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Cypermethrin,0.0000
ENSLEY BROOK DS WENSLEY STATIO,06,DEHP,0.2000
ENSLEY BROOK DS WENSLEY STATIO,06,Dicamba,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Diflurobnzrn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Diuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Ethiofencarb,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Ethirimol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,06,Fenoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Fenuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Fluoranthene,0.0016
ENSLEY BROOK DS WENSLEY STATIO,06,Fluoroxypyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Glyphosate,0.1000
ENSLEY BROOK DS WENSLEY STATIO,06,Imazapyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Ind123pyrene,746.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Ioxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Isoproturon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Linuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,MCPA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,MCPB,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,MR Screen,1.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Mecoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Methabnzthzn,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Methiocarb,0.0010
ENSLEY BROOK DS WENSLEY STATIO,06,Methomyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Metoxuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,MetsulfrnMyl,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Mn BLM Bio,5.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Monolinuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Monuron,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,NH3 un-ion,0.0011
ENSLEY BROOK DS WENSLEY STATIO,06,Neburon,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Ni BLM Bio,0.6900
ENSLEY BROOK DS WENSLEY STATIO,06,Nitrate-N,1.4900
ENSLEY BROOK DS WENSLEY STATIO,06,Nitrite-N,0.0081
ENSLEY BROOK DS WENSLEY STATIO,06,O Diss %sat,9901.0000
ENSLEY BROOK DS WENSLEY STATIO,06,Oxamyl,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,PFOS,0.0001
ENSLEY BROOK DS WENSLEY STATIO,06,Pb BLM Bio,3.5000
ENSLEY BROOK DS WENSLEY STATIO,06,Permethrn-Tr,0.0003
ENSLEY BROOK DS WENSLEY STATIO,06,Permethrn-cs,0.0002
ENSLEY BROOK DS WENSLEY STATIO,06,PhenoxytcAcd,0.1200
ENSLEY BROOK DS WENSLEY STATIO,06,Pichloram,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Propoxur,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Sulcotrione,0.1000
ENSLEY BROOK DS WENSLEY STATIO,06,Temp Water,10.8000
ENSLEY BROOK DS WENSLEY STATIO,06,TriBT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,06,TriPT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,06,Triclopyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,06,Triclosan,0.0100
ENSLEY BROOK DS WENSLEY STATIO,06,Zn BLM Bio,50.0000
ENSLEY BROOK DS WENSLEY STATIO,06,p-C-o-Cresol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,06,pFoctanoate,0.0006
ENSLEY BROOK DS WENSLEY STATIO,06,pH,8.5000
ENSLEY BROOK DS WENSLEY STATIO,06,ptOctylPheno,0.0100
ENSLEY BROOK DS WENSLEY STATIO,07,"2,3.6667
ENSLEY BROOK DS WENSLEY STATIO,07,245-T,4.0000
ENSLEY BROOK DS WENSLEY STATIO,07,2Phenoxyprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,4-CAA,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,4-nonPhenol,0.0400
ENSLEY BROOK DS WENSLEY STATIO,07,4Phenoxbutyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Alky pH 4.5,160.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Aminomethylp,0.1000
ENSLEY BROOK DS WENSLEY STATIO,07,Ammonia(N),0.0580
ENSLEY BROOK DS WENSLEY STATIO,07,B-[a]-pyrene,0.0008
ENSLEY BROOK DS WENSLEY STATIO,07,B-[b]-fluora,0.0008
ENSLEY BROOK DS WENSLEY STATIO,07,B-[ghi]-pery,714.0000
ENSLEY BROOK DS WENSLEY STATIO,07,B-[k]-fluora,0.0004
ENSLEY BROOK DS WENSLEY STATIO,07,Benazolin,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Bentazone,0.0030
ENSLEY BROOK DS WENSLEY STATIO,07,Bromoxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,C - Org Filt,301.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Chloride Ion,15.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Clopyralid,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Cond @ 25C,409.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Cu BLM Bio,0.4600
ENSLEY BROOK DS WENSLEY STATIO,07,DEHP,0.2000
ENSLEY BROOK DS WENSLEY STATIO,07,Dicamba,0.0100
ENSLEY BROOK DS WENSLEY STATIO,07,Fenoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Flow Type,4.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Fluoranthene,0.0019
ENSLEY BROOK DS WENSLEY STATIO,07,Fluoroxypyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Glyphosate,0.1000
ENSLEY BROOK DS WENSLEY STATIO,07,Imazapyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Ind123pyrene,746.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Ioxynil,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,MCPA,0.0086
ENSLEY BROOK DS WENSLEY STATIO,07,MCPB,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,MR Screen,1.0000
ENSLEY BROOK DS WENSLEY STATIO,07,Mecoprop,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Mn BLM Bio,5.0000
ENSLEY BROOK DS WENSLEY STATIO,07,NH3 un-ion,0.0012
ENSLEY BROOK DS WENSLEY STATIO,07,Ni BLM Bio,0.6900
ENSLEY BROOK DS WENSLEY STATIO,07,Nitrate-N,2.3800
ENSLEY BROOK DS WENSLEY STATIO,07,Nitrite-N,0.0180
ENSLEY BROOK DS WENSLEY STATIO,07,O Diss %sat,9901.0000
ENSLEY BROOK DS WENSLEY STATIO,07,PFOS,0.0001
ENSLEY BROOK DS WENSLEY STATIO,07,Pb BLM Bio,5.5000
ENSLEY BROOK DS WENSLEY STATIO,07,PhenoxytcAcd,0.1500
ENSLEY BROOK DS WENSLEY STATIO,07,Pichloram,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Temp Water,12.1000
ENSLEY BROOK DS WENSLEY STATIO,07,TriBT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,07,TriPT Cation,0.0002
ENSLEY BROOK DS WENSLEY STATIO,07,Triclopyr,0.0050
ENSLEY BROOK DS WENSLEY STATIO,07,Triclosan,0.0100
ENSLEY BROOK DS WENSLEY STATIO,07,Zn BLM Bio,57.0000
ENSLEY BROOK DS WENSLEY STATIO,07,p-C-o-Cresol,0.0500
ENSLEY BROOK DS WENSLEY STATIO,07,pFoctanoate,0.0012
ENSLEY BROOK DS WENSLEY STATIO,07,pH,8.5000
ENSLEY BROOK DS WENSLEY STATIO,07,ptOctylPheno,0.0100
